u	C	S
-8.11811811812	-0.5060866970678196	-0.5387321871203681
-8.0980980981	-0.5242795891730423	-0.530908574914587
-8.07807807808	-0.5363492307592806	-0.5152064703498174
-8.05805805806	-0.5392555304359753	-0.495614947638049
-8.03803803804	-0.5322865939439406	-0.47707444689447603
-8.01801801802	-0.5172096506940398	-0.4642275083866949
-7.997997998	-0.4978010228476993	-0.4602645657342241
-7.97797797798	-0.4788851663363648	-0.4661494381840871
-7.95795795796	-0.4651308272945759	-0.480407804506105
-7.93793793794	-0.45990562566686577	-0.49951857427843194
-7.91791791792	-0.4644681411052826	-0.5187993679921667
-7.8978978979	-0.4776869637409302	-0.5335597704527861
-7.87787787788	-0.49634337007600166	-0.5402370718478419
-7.85785785786	-0.5159319487336808	-0.5372410018777354
-7.83783783784	-0.5317562146049387	-0.5253111085091956
-7.81781781782	-0.5400511816137432	-0.5073121067390423
-7.7977977978	-0.5388656196172747	-0.487528131391024
-7.77777777778	-0.5285007298017304	-0.47063372724369107
-7.75775775776	-0.5114118376866278	-0.4605907151287344
-7.73773773774	-0.4916079712808388	-0.4597307184902301
-7.71771771772	-0.473700245168606	-0.4682328568192896
-7.6976976977	-0.4618273004695829	-0.48410882563172714
-7.67767767768	-0.4587082091430752	-0.5036875018064533
-7.65765765766	-0.46503717971765873	-0.5224767916230934
-7.63763763764	-0.4793505073919674	-0.5361976450619524
-7.61761761762	-0.49838536501085645	-0.5417516661662951
-7.5975975976	-0.5178383380382133	-0.5379053067047798
-7.57757757758	-0.5333442634138574	-0.5255433285638454
-7.55755755756	-0.5414516069533243	-0.5074446355305745
-7.53753753754	-0.5403775783805842	-0.4876411622566211
-7.51751751752	-0.5303809635197834	-0.47051112829472297
-7.4974974975	-0.5136793559326622	-0.45981225657237756
-7.47747747748	-0.49393933607893004	-0.4578679708474225
-7.45745745746	-0.47546042471577926	-0.46508028275563323
-7.43743743744	-0.46223664088286665	-0.47986737258115714
-7.41741741742	-0.4571007197858892	-0.4990295116497718
-7.3973973974	-0.4611325246596663	-0.5184549712880654
-7.37737737738	-0.47345166549516904	-0.5340075040051955
-7.35735735736	-0.49142936758029765	-0.5424029315311305
-7.33733733734	-0.5112651030520771	-0.5418901516018914
-7.31731731732	-0.5287984357225993	-0.5325982272395652
-7.2972972973	-0.540381093561458	-0.5164849464825976
-7.27727727728	-0.5436267886093002	-0.49690691522257247
-7.25725725726	-0.5378868255434128	-0.47790889869821135
-7.23723723724	-0.5243603017364674	-0.4633850278805527
-7.21721721722	-0.5058250624372762	-0.4562862720479924
-7.1971971972	-0.4860531085356106	-0.45803410728240046
-7.17717717718	-0.46903613027270313	-0.4682539456933695
-7.15715715716	-0.4581813717799968	-0.48487424412755287
-7.13713713714	-0.45563927815950594	-0.5045626980025087
-7.11711711712	-0.461893412574973	-0.5234046859812863
-7.0970970971	-0.4756873834495373	-0.5376839796058633
-7.07707707708	-0.4942949837693817	-0.5446097371928131
-7.05705705706	-0.5140723806814863	-0.5428489344298386
-7.03703703704	-0.531178106297694	-0.5327654404151952
-7.01701701702	-0.5423175201839148	-0.51632667822645
-6.996996997	-0.5453679843542242	-0.49670396806219064
-6.97697697698	-0.5397681340411269	-0.47765050899821293
-6.95695695696	-0.5266030394072654	-0.46278076295983406
-6.93693693694	-0.5083766764150361	-0.4548899396634111
-6.91691691692	-0.4885222443489941	-0.45544054107093934
-6.8968968969	-0.4707484046152429	-0.46430780604532923
-6.87687687688	-0.45834707214104214	-0.4798249175792952
-6.85685685686	-0.4535916753998117	-0.4991121135352712
-6.83683683684	-0.4573342112652424	-0.5186220847764729
-6.81681681682	-0.4688697258549627	-0.5347965455155225
-6.7967967968	-0.48608609127962416	-0.5447118700734297
-6.77677677678	-0.505864793534427	-0.5465974355208297
-6.75675675676	-0.5246543668427862	-0.5401368029538673
-6.73673673674	-0.5391096731752816	-0.526503488120705
-6.71671671672	-0.5466818458944697	-0.5081317552432053
-6.6966966967	-0.5460560328102596	-0.48826968489413475
-6.67667667668	-0.5373640386421137	-0.47039854257657143
-6.65665665666	-0.522140578155699	-0.4576231894008086
-6.63663663664	-0.5030373615870171	-0.4521400041900534
-6.61661661662	-0.4833505921478517	-0.45487203924037933
-6.5965965966	-0.46644771592472734	-0.4653295859285735
-6.57657657658	-0.45519372287093807	-0.48171401897637145
-6.55655655656	-0.45147417393045264	-0.5012409582637272
-6.53653653654	-0.4558927124156295	-0.5206225787812188
-6.51651651652	-0.4676890804431299	-0.5366241596162244
-6.4964964965	-0.4848854465042542	-0.5466003297939152
-6.47647647648	-0.5046307928930672	-0.5489228844181915
-6.45645645646	-0.5236814930900328	-0.5432327464175348
-6.43643643644	-0.5389359397267871	-0.5304796100072385
-6.41641641642	-0.5479349727716111	-0.5127485154462498
-6.3963963964	-0.5492482713177915	-0.492907065546961
-6.37637637638	-0.5426878101946735	-0.47413469990916973
-6.35635635636	-0.5293190312609662	-0.45941225161749405
-6.33633633634	-0.511273446467309	-0.45105373064250565
-6.31631631632	-0.49139758136716255	-0.4503529047361477
-6.2962962963	-0.47279765822984776	-0.45739684497812205
-6.27627627628	-0.45835367760807816	-0.47107085757355555
-6.25625625626	-0.45027883095076376	-0.48924878119857734
-6.23623623624	-0.4497906560804576	-0.5091343160846157
-6.21621621622	-0.45694102987558294	-0.5276971181599178
-6.1961961962	-0.47062637273680175	-0.5421348952835925
-6.17617617618	-0.48877151063664415	-0.5502911466651305
-6.15615615616	-0.5086548132032709	-0.5509672315885252
-6.13613613614	-0.5273222717501724	-0.5440852953631244
-6.11611611612	-0.5420267981165906	-0.5306821576925643
-6.0960960961	-0.5506275001605008	-0.5127398290558391
-6.07607607608	-0.5518917889458219	-0.49288201595625947
-6.05605605606	-0.5456592649535493	-0.4739844329424545
-6.03603603604	-0.5328477074904232	-0.458757525066979
-6.01601601602	-0.5153048232080143	-0.4493621237840054
-5.995995996	-0.4955312621885204	-0.4471117544652255
-5.97597597598	-0.476317743107189	-0.4523011650594823
-5.95595595596	-0.4603497055874696	-0.46418150145999154
-5.93593593594	-0.4498355631275466	-0.4810813428208636
-5.91591591592	-0.44620937089580875	-0.5006525888489732
-5.8958958959	-0.4499466571059181	-0.5202037177549135
-5.87587587588	-0.46051528349086684	-0.53707229776516
-5.85585585586	-0.4764640423295292	-0.5489850115291195
-5.83583583584	-0.49563297935759115	-0.5543569953689182
-5.81581581582	-0.5154536607475907	-0.5524921782790407
