x1	Amplitude	Phase
-30.0	0.0545481157052	0.540578341725
-29.9939993999	0.0545858194929	0.540583973919
-29.9879987999	0.0546988332305	0.540670085864
-29.9819981998	0.0548867700833	0.540939144764
-29.9759975998	0.055148930374	0.541490487821
-29.9699969997	0.0554843162465	0.542418782864
-29.9639963996	0.0558916517754	0.543812672887
-29.9579957996	0.0563694076222	0.545753648385
-29.9519951995	0.0569158291822	0.548315175965
-29.9459945995	0.0575289671021	0.551562095537
-29.9399939994	0.0582067090482	0.555550283165
-29.9339933993	0.058946811674	0.560326563458
-29.9279927993	0.0597469318558	0.565928845066
-29.9219921992	0.060604656418	0.572386445886
-29.9159915992	0.0615175297424	0.579720570766
-29.9099909991	0.0624830788272	0.587944903725
-29.903990399	0.0634988355304	0.597066278224
-29.897989799	0.0645623558744	0.607085392395
-29.8919891989	0.0656712364155	0.61799754052
-29.8859885989	0.0668231277772	0.629793337136
-29.8799879988	0.0680157455207	0.642459415145
-29.8739873987	0.0692468785752	0.655979084226
-29.8679867987	0.0705143954769	0.670332940141
-29.8619861986	0.0718162486825	0.685499419265
-29.8559855986	0.0731504772198	0.70145529578
-29.8499849985	0.0745152079265	0.718176121316
-29.8439843984	0.0759086555166	0.735636608723
-29.8379837984	0.077329121686	0.753810962873
-29.8319831983	0.0787749934532	0.772673162295
-29.8259825983	0.0802447409015	0.792197195923
-29.8199819982	0.0817369144698	0.812357259427
-29.8139813981	0.0832501419164	0.833127915652
-29.8079807981	0.0847831250588	0.854484223492
-29.801980198	0.0863346363782	0.876401839332
-29.795979598	0.0879035155561	0.898857094836
-29.7899789979	0.0894886660032	0.921827054556
-29.7839783978	0.0910890514217	0.945289556454
-29.7779777978	0.0927036924388	0.969223238108
-29.7719771977	0.0943316633353	0.993607551016
-29.7659765977	0.0959720888903	1.01842276511
-29.7599759976	0.0976241413537	1.0436499653
-29.7539753975	0.099287037556	1.06927104164
-29.7479747975	0.100960036161	1.09526867442
-29.7419741974	0.102642435062	1.12162631532
-29.7359735974	0.10433356892	1.14832816559
-29.7299729973	0.106032806847	1.17535915206
-29.7239723972	0.107739550223	1.20270490159
-29.7179717972	0.10945323065	1.23035171456
-29.7119711971	0.111173308026	1.25828653785
-29.7059705971	0.112899268754	1.28649693759
-29.699969997	0.114630624053	1.31497107208
-29.6939693969	0.116366908391	1.343697665
-29.6879687969	0.118107678008	1.37266597922
-29.6819681968	0.119852509554	1.40186579116
-29.6759675968	0.121600998802	1.43128736608
-29.6699669967	0.123352759454	1.46092143401
-29.6639663966	0.125107422034	1.49075916677
-29.6579657966	0.12686463284	1.52079215574
-29.6519651965	0.128624052985	1.55101239071
-29.6459645965	0.130385357484	-1.56018041404
-29.6399639964	0.132148234422	-1.52960822469
-29.6339633963	0.13391238416	-1.49887062781
-29.6279627963	0.135677518607	-1.4679742336
-29.6219621962	0.137443360536	-1.43692534604
-29.6159615962	0.139209642945	-1.40572997873
-29.6099609961	0.140976108463	-1.37439386988
-29.603960396	0.142742508794	-1.34292249648
-29.597959796	0.144508604197	-1.31132108778
-29.5919591959	0.146274163002	-1.279594638
-29.5859585959	0.148038961157	-1.24774791838
-29.5799579958	0.149802781804	-1.21578548859
-29.5739573957	0.151565414885	-1.1837117075
-29.5679567957	0.153326656767	-1.15153074338
-29.5619561956	0.155086309901	-1.11924658355
-29.5559555956	0.156844182491	-1.08686304347
-29.5499549955	0.158600088198	-1.05438377536
-29.5439543954	0.160353845847	-1.02181227635
-29.5379537954	0.162105279166	-0.989151896188
-29.5319531953	0.163854216531	-0.956405844491
-29.5259525953	0.165600490736	-0.923577197658
-29.5199519952	0.167343938769	-0.890668905361
-29.5139513951	0.169084401606	-0.857683796707
-29.5079507951	0.17082172402	-0.824624586061
-29.501950195	0.172555754391	-0.791493878551
-29.495949595	0.174286344542	-0.758294175287
-29.4899489949	0.176013349575	-0.72502787829
-29.4839483948	0.177736627716	-0.691697295169
-29.4779477948	0.179456040178	-0.658304643538
-29.4719471947	0.181171451023	-0.62485205521
-29.4659465947	0.182882727034	-0.591341580163
-29.4599459946	0.184589737601	-0.557775190305
-29.4539453945	0.186292354604	-0.524154783033
-29.4479447945	0.187990452307	-0.49048218462
-29.4419441944	0.18968390726	-0.456759153415
-29.4359435944	0.191372598207	-0.422987382887
-29.4299429943	0.19305640599	-0.389168504512
-29.4239423942	0.194735213472	-0.355304090507
-29.4179417942	0.196408905454	-0.321395656438
-29.4119411941	0.1980773686	-0.287444663684
-29.4059405941	0.199740491368	-0.253452521787
-29.399939994	0.201398163942	-0.219420590684
-29.3939393939	0.203050278169	-0.185350182823
-29.3879387939	0.204696727497	-0.15124256518
-29.3819381938	0.206337406923	-0.11709896118
-29.3759375938	0.207972212934	-0.0829205525169
-29.3699369937	0.209601043461	-0.0487084808951
-29.3639363936	0.211223797826	-0.0144638496783
-29.3579357936	0.212840376703	0.0198122745338
-29.3519351935	0.214450682068	0.0541188604056
-29.3459345935	0.216054617161	0.0884549104367
-29.3399339934	0.21765208645	0.122819459599
-29.3339333933	0.219242995589	0.15721157404
-29.3279327933	0.220827251389	0.191630349839
-29.3219321932	0.222404761779	0.226074911829
-29.3159315932	0.223975435778	0.26054441247
-29.3099309931	0.225539183466	0.295038030768
-29.303930393	0.227095915955	0.329554971247
-29.297929793	0.228645545361	0.364094462973
-29.2919291929	0.230187984778	0.398655758607
-29.2859285929	0.231723148257	0.433238133516
-29.2799279928	0.233250950782	0.467840884911
-29.2739273927	0.234771308247	0.502463331026
-29.2679267927	0.236284137435	0.537104810341
